Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source
1960.10.00.b,Oct-60,1960,Boat,SOUTH AFRICA,Western Cape Province,False Bay,Fishing,,,"Shark rammed boat, breaching its hull",N,,"White shark, 18 mm tooth fragment  recovered from the hull",T. Wallett
1960.09.24,24-Sep-60,1960,Provoked,USA,South Carolina,"Atlantic Beach, Horry County",Fishing inside net,M,,"Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT",N,,"2.4 m [8'], 600-lb shark","News (Lancaster, SC), 10/3/1960; H.D. Baldridge, p.142"
1960.09.18,18-Sep-60,1960,Boat,AUSTRALIA,Western Australia,Frenchman Bay,,,,"No injury to occupants, toothmarks on bottom & side of dinghy",N,,3.7 m [12'] shark,P.W. Gilbert
1960.08.10,10-Aug-60,1960,Provoked,USA,Florida,Key Largo Sound,Holding shark on leader & dangling it above the water,M,15,Right hand bitten by hooked shark PROVOKED INCIDENT,N,20h00,"Lemon shark, 1164 mm, immature male, identified by  V.G. Springer",D. Mayo; V. Springer
1960.08.00,Aug-60,1960,Unprovoked,USA,South Carolina,Parris Island,Swimming from camp,M,,FATAL,Y,,,"V.M. Coppleson (1962), p.249"
1960.06.29,29-Jun-60,1960,Provoked,USA,South Carolina,"Little River Beach, Horry County",Surf fishing,M,,"Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT",N,14h00,7' shark,"C. Creswell, GSAF; Florence Morning News 6/30/1960"
1960.06.24,24-Jun-60,1960,Unprovoked,USA,Florida,"2 miles east of Dania Beach, Broward County",Scuba diving,M,39,"No injury, shark harrassed diver & attempted to bite his swimfins",N,11h00,"Mako shark, 1.8 m to 2.1 m [6' to 7']  with hook & wire leader caught in mouth",W.F. Fey
1960.06.07,07-Jun-60,1960,Invalid,USA,California,"10 miles off Santa Barbara, Santa Barbara County","Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion",M,"37, 67, 35, 27,  ? & 27","Legs & arms bitten, coroner unable to determine if injuries occurred before death.",N,,,"L.A. Times, 6/10/1960; L. Schultz & M. Malin, p.560; SAF Case #724"
1960.05.19,19-May-60,1960,Unprovoked,USA,California,"Aptos, Santa Cruz County",Swimming ,F,16,"Left leg bitten, surgically amputated below the knee",N,13h00,"White shark, 4 m to 5 m [13' to 16.5'] ","D. Miller & R. Collier; R. Collier, pp.31-32; V.M. Coppleson (1962), p.249; H.D. Baldridge, p.71  "
1960.05.16,16-May-60,1960,Provoked,USA,Florida,"Lignum Vitae Channel, Florida Keys, Monroe County",,,,"No injury, harpooned shark bit hull, leaving tooth fragments. PROVOKED INCIDENT",N,,"Lemon shark, 1.8 m [6'] male, N. breviostris, identified by W.A. Stark II, later the same day a 6'8"" pregnant female lemon shark bit the bow of the boat","Randall in Sharks and Survival, p.351  Note: Stark's boat also rammed by shark a lemon shark several years earlier"
1960.04.30,30-Apr-60,1960,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Treading water,M,16,Multiple major injuries,N,15h35,"White shark, 2.1 m [7']  based on tooth pattern","M. Hely, E. Kerns, M. Levine, GSAF;  G.D. Campbell; D. Davies, pp.102-108; Tim Wallett"
1960.04.24,24-Apr-60,1960,Unprovoked,USA,California,"Tomales Point, Marin County",Skindiving for abalone (but at surface),M,48,Foot & swim fin bitten ,N,14h00,"White shark, 4.9 m [16'] ","F.I. Gilbert; Follett, p. 192-198; D. Miller & R. Collier; R. Collier, pp.30-31; V.M. Coppleson (1962), p.255; H.D. Baldridge, p.71"
1960.04.22,22-Apr-60,1960,Provoked,AUSTRALIA,Western Australia,Rottnest Island,"Fishing, hauling in a set line",M,,4 fingers of left hand were lacerated by shark he had shot in the head PROVOKED INCIDENT,N,,"Bronze whaler shark, 3 m [10'], 200-lb","L. Schultz & M. Malin, p.546"
1960.04.20.R,Reported 20-Apr-1960,1960,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,,Gaffed shark bit his ankle PROVOKED INCIDENT,N,,"Raggedtooth shark, 100-lb ","Eastern Province Herald, 4/20/1960"
1960.04.12,12-Apr-60,1960,Unprovoked,AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",Surfing,M,17,Right arm & side bruised,N,Late afternoon,"White shark, 3.7 m [12'] ","Macleay Argus (NSW), 4/14/1960; V.M. Coppleson (1962), p.245"
1960.04.10,10-Apr-60,1960,Provoked,AUSTRALIA,Western Australia,Off Rottnest Island,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",M,,"Bruises & minor injuries from reef, not the shark PROVOKED INCIDENT",N,,"Sandtiger shark, 2.1 m [7'] ","V.M. Coppleson (1962), p.252"
1960.04.03.a,03-Apr-60,1960,Unprovoked,AUSTRALIA,New South Wales,Off Broughton Island near Port Stephens,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into shark�s mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",M,,Minor injuries to hand,N,12h00,"Bronze whaler shark, 3.7 m [12'] identified by G.P. Whitley based on description","G. P. Whitley; V.M. Coppleson (1962), p.252"
1960.04.01,01-Apr-60,1960,Provoked,AUSTRALIA,South Australia,Hog Bay,Shark fishing,,,Hooked shark bit stern  PROVOKED INCIDENT,N,,White shark,"The News (Adelaide), 4/1/1960"
1960.04.00.a,Apr-60,1960,Boat,SOUTH AFRICA,Western Cape Province,Saldanha Bay,Fishing,,,Shark rammed boat & bit transom,N,,White shark (tooth fragments recovered),"T. Wallett, p.27"
1960.03.31,31-Mar-60,1960,Unprovoked,USA,Florida,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County",Treading water,M,42,"Ankle bitten, hand injured while striking shark",N,12h00,"1.2 m [4'], possibly  larger shark","V.M. Coppleson (1962), p.249, erroneously lists the date as 3/31/1961; H.D. Baldridge, p.142"
1960.02.27.a,27-Feb-60,1960,Invalid,USA,Hawaii,"Between Keawakapu & Makena, Maui",Spearfishing,M,36,Left forearm lacerated,N,08h00,"According to Benjamin, the injury was inflicted by a barracuda, not a shark","Honolulu Star Bulletin, 3/1 /1960; V.M. Coppleson (1962), p.246; J. Borg, p.73; L. Taylor (1993), pp.100-101;  SAF Case #662"
1960.02.10.,10-Feb-60,1960,Provoked,AUSTRALIA,New South Wales,Near Bondi Beach,Shark fishing,,,No injury to occupants. Hooked shark rammed boat  PROVOKED INCIDENT,N,,"Tiger shark, 14' ","Sydney Daily Telegraph, 2/11/1960"
1960.02.07,07-Feb-60,1960,Provoked,AUSTRALIA,New South Wales,Wattamolla National Park,Spearfishing,M,20,"No injury, speared shark towed Gilles 200 yards & tore hole in diving suit, and hit Dowswell's back with its tail PROVOKED INCIDENT",N,,"Grey nurse shark, 2.9 m [9'6""] ",Unidentified press clipping;. SAF Case #203
1960.02.03,03-Feb-60,1960,Invalid,USA,Hawaii,Maui,S2F-1 airplane crashed immediately after carrier take-off,,,"Of crew of 4, only 1 person survived (broken legs but no shark bites). Within 20 minutes of his rescue large sharks were in area. No remains of other 3 crew recovered, and shark involvement in their deaths is questionable. ",Y,02h00,,"L. Schultz & M. Malin, p.562; SAF Case #870 "
1960.01.21,21-Jan-60,1960,Boat,AUSTRALIA,South Australia,Millicent,,,,"No injury to occupants, shark lifted boat",N,,Blue pointer,Hobart Mercury 1/22/1960
1960.01.16,16-Jan-60,1960,Unprovoked,AUSTRALIA,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney",Free diving,M,13,"FATAL, right leg severed above knee, surgically amputated but died 9 days later ",Y,15h30,Bull shark,"T.W. Brown, pp.1 -6; H.D. Baldridge, p.196; A. Sharpe, pp76-77; H. Edwards, pp.100 & 108"
1960.01.13,13-Jan-60,1960,Provoked,AUSTRALIA,Western Australia,Geraldton,"Fishing, lifting shark out of craypot",M,,Upper leg bitten PROVOKED INCIDENT,N,P.M.,Wobbegong shark,"Western Australian  Perth Daily News, 1/4/1960"
1960.01.01,01-Jan-60,1960,Provoked,SOUTH AFRICA,Western Cape Province,Muizenberg,"Standing, watching seine netters",F,,Left leg bitten by shark that escaped net  PROVOKED INCIDENT,N,,,GSAF
1960.00.00.a,Ca. 1960,1960,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Wading,F,,"Heel lacerated, hand lacerated & abraded",N,11h00,2.1 m [7'] shark,"T. Greig, M. Levine, GSAF"
1959.12.29,29-Dec-59,1959,Boat,AUSTRALIA,Queensland,Scotts Point Beach ,Paddling,,,No injury to occupants,N,Afternoon,3.7 m [12'] tiger shark,"Herald, (Redcliffe), 12/31/1959"
1959.12.28,28-Dec-59,1959,Boat,AUSTRALIA,New South Wales,"Leichardt, Sydney",Fishing,,50 & 30,No injury to occupants,N,Late night,2.4 m  [8'] shark,"Daily Mirror (Sydney), 12/29/1959"
1959.12.19.b,19-Dec-59,1959,Unprovoked,AUSTRALIA,Queensland,"Off Wynnum in Moreton Bay, near Brisbane",Dived from dinghy to retrieve oar in heavy seas,M,29,FATAL,Y,06h00,,"P. Gilbert, L. Schultz & S. Springer (1960); V.M. Coppleson (1962), p.245; T. Peake, GSAF"
1959.12.07,07-Dec-59,1959,Invalid,AUSTRALIA,South Australia,Laura Bay,Spearfishing,M,,"No injury, shark made threat display, one diver shot shark in jaw, then they killed shark with knives  ",N,,,"V.M. Coppleson (1962), p.252"
1959.11.28,28-Nov-59,1959,Unprovoked,AUSTRALIA,Queensland,"North Burleigh, near Brisbane",Standing in chest-deep water,M,17,Right foot lacerated,N,07h30,"""a small shark""","Sunday Mail (Brisbane), 11/29/1959"
1959.11.22,22-Nov-59,1959,Unprovoked,AUSTRALIA,Queensland,"Surfer's Paradise, Northcliffe",Trailing the field in a surf race,M,19,"Lower left leg bittten, hand abraded",N,11h00,3 m to 4.3 m [10' to 14'] shark,"Daily Mirror (Sydney) 11/23/1959; G.P. Whitley; P. Gilbert, L. Schultz & S. Springer (1960); J. Green, p.35"
1959.11.15,15-Nov-59,1959,Boat,SOUTH AFRICA,Western Cape Province,"Swartklip, False Bay",Fishing for tunny,,,R. Roberts' leg was bruised when shark leapt into boat,N,,"Thresher shark, 3.7 m [12'] ","East London Dispatch, 11/16/1959"
1959.11.12.R,Reported 12-Nov-1959,1959,Provoked,AUSTRALIA,South Australia,Near Port Vincent,Shark fishing,,,"No injury to occupant, hull bitten PROVOKED INCIDENT",N,,6 m [20'] shark,"Advertiser (Adelaide), 11/12/1959"
1959.11.10,10-Nov-59,1959,Unprovoked,USA,California,"Near Paradise Cove, Malibu, Los Angeles County",Swimming at surface through school of feeding 2.5' to 5� sharks,M,21,Forearm bitten,N,10h30 or 13h30,"Blue shark, 1.5 m [5'] ","D. Miller & R. Collier; R. Collier, pp.26-27; P. Gilbert, L. Schultz & S. Springer (1960);  V.M. Coppleson (1962), p.249"
1959.11.09,09-Nov-59,1959,Provoked,AUSTRALIA,Western Australia, Perth,"Spearfishing, shot shark, hauled it onto boat",M,,"No injury. Diver shot shark, then shark tore legs of his rubber suit, water poured in & swept out to sea by strong rip current PROVOKED INCIDENT",N,,"Carpet shark, 1.5 m [5']","Perth Daily News, 4/19/1961; V.M. Coppleson (1962), p.251"
1959.10.04,04-Oct-59,1959,Unprovoked,USA,California,"Bodega Rock, Sonoma County",Diving for abalone,M,30,"Ankle twisted, swim fin bitten",N,15h15,"White shark, 5 m [16.5'], identified by Dr. W. I. Follett on tooth marks","San Francisco Chronicle, 10/7/1959n; D. Miller & R. Collier;  R. Collier, pp.25-26; P. Gilbert, L. Schultz & S. Springer (1960); H.D. Baldridge, p.70"
1959.09.26.b,26-Sep-59,1959,Sea Disaster,USA,Florida,"Off Port Everglades, Broward County","Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",M,30,"During the night both hands and feet were bitten, rescued next day after spending 17 hours in the sea.",N,17h00,"A hammerhead shark, then 8 to 10 other sharks were said to be  involved","St Petersberg Times, 9/27/1959;  NY Herald Tribune, 9/28/1959; P. Gilbert, L. Schultz & S. Springer (1960)"
1959.09.26.a,26-Sep-59,1959,Boat,USA,South Carolina,"Albergotti Creek, near Air Station boat docks, Beaufort",Gigging for flounder,,,,UNKNOWN,Midnight,"Said to involve white shark, but species identify questionable","Gazette (Beaufort, SC), 10.1/1959; SAF Case #577"
1959.09.11,Between 10 and 12-Sep-1959,1959,Boat,USA,California,"Between False Klamath & mouth of Klamath River, Del Norte County",Pulling hooked salmon to boat,,,"No injury to occupant, shark struck stern of boat",N,15h30,"White shark, 3.5 m [11.5'], identified by W. I.  Follett on tooth fragments","R. Collier, p.172"
1959.08.15.b,15-Aug-59,1959,Invalid,USA,Florida,"Panama City, Bay County",Diving,M,21,No injury,N,,2 sharks,"H. D. Baldridge (1994), SAF Case #440 listed incident as ""Questionable"""
1959.08.15.a,15-Aug-59,1959,Unprovoked,USA,Florida,"Panama City, Bay County",Spearfishing on Scuba,M,26,"FATAL, disappeared, dive gear & clothing found with teethmarks, presumed taken by a shark  ",Y,,3.7 m [12'] shark,"Washington Post, 8/17/1959; P. Gilbert, L. Schultz & S. Springer (1960); H.D. Baldridge, p.183"
1959.08.14.b,14-Aug-59,1959,Provoked,USA,South Carolina,Charleston,Fishing,M,,Laceration to forearm by boated shark PROVOKED INCIDENT,N,,5.5' shark,"Washington Post, 8/16/1959"
1959.08.13,13-Aug-59,1959,Provoked,USA,California,"LaJolla, San Diego County","Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ide�s speargun & he shot it in the mouth",M,32,"No injury, PROVOKED INCIDENT",N,,"Hammerhead shark, 9' ","Independent, 8/14/1959, p. 2; V.M. Coppleson (1962), p.147"
1959.08.05,05-Aug-59,1959,Invalid,USA,California,"Hermosa Beach, Los Angeles County",Wading,M,,"No injury, no attack, the shark merely circled him.",N,,10' shark,"Independent, 8/6/1959, p.8; H.D. Baldridge (1994) SAF Case #437, Subsequently investigated by R. Collier & D. Miller who were unable to verify its authenticity"
1959.07.30,30-Jul-59,1959,Provoked,USA,California,"In kelp beds off La Jolla, San Diego County",Pulling anchor,,,"No injury to occupants, shark charged boat after being shot twice with pistol and speared PROVOKED INCIDENT",N,16h00,"White shark, 3 m to 5 m [10' to 15'] ","LA Times, 7/31/1959 "
1959.07.28,28-Jul-59,1959,Unprovoked,USA,California,"Alligator Head, La Jolla, San Diego County",Spearfishing (but on surface),M,25,"14 punctures on right thigh, swim trunks torn",N,19h30,"Hammerhead shark, 1.8 m [6'] S. zygena identified by C. Limbaugh on description","D. Miller & R. Collier; R. Collier, pp.24-25; Garrick & L. Schultz, p.19 in Sharks & Survival; P. Gilbert, L. Schultz & S. Springer (1960)"
1959.07.25.a,25-Jul-59,1959,Boat,USA,California,"Mission Beach, San Diego County",,,21,No injury to occupant,N,,"Hammerhead shark, 2.4 m [8'] ","San Diego Union, 7/26/1959"
1959.07.23.b,23-Jul-59,1959,Boat,USA,California,"Off La Jolla Cove, San Diego County",Fishing,,,"No injury to occupant, shark rammed boat",N,,"Hammerhead shark, 3 m [10'] ","Herald Express (L.A.), 7/25/1959"
1959.07.23.a,23-Jul-59,1959,Provoked,USA,California,"Venice Beach, Los Angeles County",Dragging stranded shark ashore,M,,"Gietel grabbed the shark's tail, the shark lacerated his right ankle PROVOKED INCIDENT",N,,"Blue shark, 1.8 m [6'] ","Herald Express (L.A.), 7/25/1959 "
1959.07.02,02-Jul-59,1959,Provoked,USA,Florida,"Delray Beach, Palm Beach County",Free diving,M,13,Arm bitten when he grabbed shark�s tail  PROVOKED INCIDENT,N,,"Nurse shark, 60 cm [24""], identified by Dr. L.P. L. Schultz on photograph","Miami Herald, 7/3/1959; Garrick & L. Schultz, p.56 in Sharks & Survival; Miami Herald, 3 July 1959 "
1959.06.14.a,14-Jun-59,1959,Unprovoked,USA,California,"La Jolla, San Diego County",Free diving for abalone,M,33,"FATAL, body not recovered",Y,17h10,"Reported to involve a White shark, 6 m to 7m [20' to 23'] ","D. Miller & R. Collier; R. Collier, pp. 21-24    "
1959.06.13,13-Jun-59,1959,Invalid,USA,California,"Dillon Beach, Marin County",Swimming ,,,"Disappeared after diving in �deep hole�, body not recovered, �presumed taken by a shark� ",Y,,,"D. Miller & R. Collier, R. Collier, p. xxv"
1959.05.30,30-May-59,1959,Provoked,SOUTH AFRICA,Eastern Cape Province,"Bird Island, Algoa Bay",Spearfishing,M,23,"No injury, diver shot shark & it bit his speargun PROVOKED INCIDENT",N,,"White shark, 2.7 m [9'], 280-lb ","C. Middleton; M. Levine, GSAF"
1959.05.16,16-May-59,1959,Unprovoked,USA,Florida,"Indian Rocks Beach, Clearwater, Pinellas County",,F,37,Minor injuries,N,,1.2 m [4'] shark,"V.M. Coppleson (1962), p.249; Miami News, 5/18/1959 "
1959.05.07,07-May-59,1959,Unprovoked,USA,California,"Baker Beach, San Francisco County",Treading water,M,18,"FATAL, left arm bitten, right arm partly severed, deep lacerations of left shoulder & chest ",Y,17h30,"White shark, 3 m [10']; identifed by Dr. W.I. Follett on tooth marks","P. Gilbert, L. Schultz & S. Springer (1960); D. Miller & R. Collier, Follett, p. 18-22; R. Collier, pp.18-21"
1959.05.03,03-May-59,1959,Unprovoked,USA,Florida,"Panama City, Bay County",Spearfishing,M,19,Lacerated hip & hands,N,10h00,"Tiger shark, 3.7 m [12']","Miami Herald, 5/5/1959; T. Helm, pp. 93 & 243"
1959.04.27,27-Apr-59,1959,Invalid,AUSTRALIA,New South Wales,Maroubra Bay,Spearfishing,M,22,Thigh lacerated,N,,,"V.M. Coppleson (1962), p.251; J. Green, p.35"
1959.04.09.b,09-Apr-59,1959,Unprovoked,USA,Hawaii,"Hilo, off Kaua'i",Fishing,M,,Survived,N,,,"V.M. Coppleson (1962), p.246"
1959.04.09..a,09-Apr-59,1959,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth ,Fishing,M,,2 toes bitten off ,N,,,
1959.04.05,05-Apr-59,1959,Unprovoked,AUSTRALIA,New South Wales,Thirroul,Spearfishing,M,,Swim fin bitten,N,,,"P. Gilbert, L. Schultz & S. Springer (1960)"
1959.03.29,29-Mar-59,1959,Unprovoked,USA,Florida,"Vaca Cut Channel & bridge under Marathon, Monroe County",Swimming,M,13,"Bumped, then knee bitten",N,14h30,,"Florida Keys Keynoter, 4/2/1959; Dr. H. S. Denniger; Note: V.M. Coppleson (1962) lists date of May 1959, p249"
1959.03.00,Mar-59,1959,Boat,USA,Florida,Miami,"On boat, preparing to dive",M,,Boat followed shark; shark holed boat,N,,Tiger shark 4.3 m [14'] ,"R.P.L. Straughan;  R.F. Hutton; T. Helm, p.241;"
1959.02.01,01-Feb-59,1959,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Port Shepstone,Treading water,M,14,Leg severed below knee,N,14h45,1.8 to 2.1 m [6' to 7'] shark,"R. Vermaak, M. Levine, GSAF "
1959.01.31,31-Jan-59,1959,Unprovoked,AUSTRALIA,Western Australia,South Perth,Working prawn net,M,20,Shark�s tail grazed his shin,N,Night,"Grey nurse shark, 1.8 m [6']","West Australian (Perth), * Sunday Times, 2/1/1959s; P. Gilbert, L. Schultz & S. Springer (1960)"
1959.01.17.a,17-Jan-59,1959,Unprovoked,AUSTRALIA,Queensland,Alexandra Headland near Mooloolaba,"Surfing, but treading water",M,17,Right foot & toe bitten,N,09h30,1.8 m [6'] shark,"Sun Herald (Sydney) 1/18/1959;  P. Gilbert, L. Schultz & S. Springer(1960); J. Green, p.35"
1959.01.15,15-Jan-59,1959,Unprovoked,SOUTH AFRICA,Western Cape Province,Melkbaai,Swimming,M,18,Thigh & both wrists lacerated,N,16h15,"White shark, 1.8 m to 2.1 m [6' to 7']  according to Shreuder and a witness","Cape Times, 1/16/1959 et al, M. Levine, GSAF "
1958.12.23,23-Dec-58,1958,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, False Bay",Swimming,M,14,FATAL,Y,,,"1/16/1959, Cape Argus; G. Wilson; M. Levine, GSAF"
1958.12.13,13-Dec-58,1958,Unprovoked,USA,Hawaii,"Near Twin Islands off Lanikai, O'ahu (east coast)",Surfing on air mattress,M,15,"FATAL, leg severed  ",Y,13h00,"Tiger shark, 4.6 m to 7.6 m [15' to 25'] ",A. L. Tester
1958.11.23,23-Nov-58,1958,Unprovoked,AUSTRALIA,Queensland,Surfer's Paradise,Swimming,M,21,FATAL,Y,15h15,12' shark,"V.M. Coppleson (1962), p.245; A. Sharpe, p.100;  J. Green, p.35"
1958.11.14,14-Nov-58,1958,Invalid,SOUTH AFRICA,Western Cape Province,False Bay,Fishing,M,,"No injury, shark leapt at him",N,,Questionable incident,Clipping dated 11/15/1958
1958.11.05,05-Nov-58,1958,Boat,USA,California,"Pacific Beach, San Diego County",Fishing,,,"No injury to occupant, shark chasing barracuda tied to the stern rammed skiff & slashed the motor",N,,White shark,C. Limbaugh
1958.10.12,12-Oct-58,1958,Unprovoked,USA,California,"Coronado Strand, San Diego County",Swimming near jetty,M,15,"Left arm, hips & leg lacerated",N,,,"Los Angeles Times, 10/13/1958; D. Miller & R. Collier, R. Collier, p. 17-18"
1958.10.05,05-Oct-58,1958,Unprovoked,USA,Florida,"Baker's Haulover, Miami Beach",,M,60,No injury,N,,,R.F. Hutton citing Miami Herald Newspaper Library
1958.07.27.b,27-Jul-58,1958,Unprovoked,USA,Florida,"9 miles north of Turtle Beach, Siesta Key, Sarasota County","Swimming, ducking for shells in water 0.9 m deep",M,12,3 lacerations on leg,N,16h10,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ","E. Clark; M. Vorenberg; R. Skocik, pp.173-174; V.M. Coppleson, p.255; H. D. Baldridge, pp. 25, 62, 73 & 164"
1958.07.27.a,27-Jul-58,1958,Unprovoked,USA,Florida,"Longboat Key, Sarasota, Sarasota County","Swimming, ducking for shells in water 0.9 m deep",M,8,"Left hand and  leg bitten, leg surgically amputated below hip",N,16h10,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ","E. Clark (1960); M. Vorenberg; R. Skocik, pp.173-174; H.D. Baldridge, pp. 25, 62, 73 & 164"
1958.07.10,10-Jul-58,1958,Unprovoked,USA,Florida,"Key West, Monroe County",,M,35,FATAL  Autopsy report: bitten by shark while still alive,Y,,,"R. F. Hutton; T. Helm, p.239"
1958.07.02,02-Jul-58,1958,Provoked,USA,Florida,"Siesta Key, Sarasota County",Free diving,M,20,"He grabbed shark, it bit his leg below the knee PROVOKED INCIDENT",N,14h30,"Nurse shark, 1.5 m [5']  identified by Dr. E. Clark on description of shark","E. Clark; H. D. Baldridge, p.26"
1958.07.00.a,Jul-58,1958,Unprovoked,USA,Florida,"Sarasota, Sarasota County",,M,,Both were bitten on feet by sharks,N,,,"R. F. Hutton; T. Helm, p.239"
1958.06.26,26-Jun-58,1958,Provoked,USA,Florida,"Sanibel Island, Lee County",Wading,M,59,Right foot bitten when he walked into shark's head PROVOKED INCIDENT,N,17h30,"Nurse shark, 2.1 m [7']  identified by Dr. E. Clark on color & tooth impressions","E. Clark; Dr. Greenwood; R.F. Hutton; Randall in Sharks & Survival, p.357; T. Helm, p.237"
1958.06.24,24-Jun-58,1958,Unprovoked,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Walking,M,17,Lower left leg & foot bitten,N,17h10,Tiger shark?,"E. Clark; R. Skocik, pp.172-173; H.D. Baldridge, p.26"
1958.06.17,17-Jun-58,1958,Provoked,USA,Florida,Key Biscayne,"Swimming, towing the shark",M,,Thigh bitten PROVOKED INCIDENT,N,,"Nurse shark, 1.1 m [3.5'] ","Randall in Sharks & Survival, pp.357"
1958.06.15,15-Jun-58,1958,Invalid,AUSTRALIA,Queensland,Green Island,Swimming,F,,"Injuries caused by coral, not the  shark",N,,5' shark,"Natal Mercury, 6/18/1958"
1958.06.02.R,Reported 02-Jun-1958,1958,Invalid,SOUTH AFRICA,KwaZulu-Natal,King Reef off Park Rynie,Spearfishing,M,,Injuries not caused by sharks,N,,,"Daily News, 6/2/1958"
1958.04.30,30-Apr-58,1958,Provoked,USA,Florida,1 mile off Miami Beach,Free diving,M,29,"Grabbed shark�s tail, shark bit his thigh PROVOKED INCIDENT",N,,"Nurse shark, 1.5 m [5'] ","Miami Herald,  May 1, 1958"
1958.04.05,05-Apr-58,1958,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Uvongo,Paddling in knee-deep water,F,28,FATAL,Y,11h10,3 m [10'] shark,"G.S. Perry, M. Levine, GSAF "
1958.04.03,03-Apr-58,1958,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Port Edward,Swimming with goggles,M,29,"FATAL, arm severed above elbow, abdomen & leg bitten  ",Y,13h30,3 m [10'] shark,"M. Levine, GSAF "
1958.02.19,19-Feb-58,1958,Invalid,AUSTRALIA,New South Wales,,Spearfishing,M,21,"Disappeared while diving, speargun recovered, 2 large sharks in vicinity.",Y,Late afternoon,,"Durban Daily News, 2/20/1958"
1958.01.27,27-Jan-58,1958,Unprovoked,AUSTRALIA,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,Spearfishing / swimming on surface,M,17,Right leg lacerated,N,,,"V.M. Coppleson (1962), p.251 "
1958.01.19,19-Jan-58,1958,Unprovoked,AUSTRALIA,New South Wales,Brunswick Heads,Body surfing,M,14,"Laceration to left ankle, heel and little toe",N,16h30,6' shark,"V.M. Coppleson (1962), p.245"
1958.01.09,09-Jan-58,1958,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scotburgh,Swimming,M,,FATAL,Y,07h30,White shark,"M. Levine, GSAF"
1958.00.00.b,1958,1958,Boat,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing (trolling),,,No injury to occupants; shark bit propeller,N,,White shark,"T. Wallett, p.27"
1958.00.00.a,Circa 1958,1958,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,MaKakatana River,"Fishing, walking in river to cast",M,,"FATAL, right leg severed above knee  ",Y,,,"J. Daniel, M. Levine. GSAF "
1957.12.31,31-Dec-57,1957,Unprovoked,AUSTRALIA,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",Spearfishing,M,,No injury. Shark grabbed fish attached to his belt & towed him seaward.  ,N,,,"V.M. Coppleson (1962), p.251"
1957.12.30,30-Dec-57,1957,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Margate,Standing,F,14,"Left arm severed, torso bitten, thigh lacerated, many abrasions",N,12h40,1.8 m [6'] shark,"J. Painting, Dr. Feinberg, M. Levine, GSAF"
1957.12.26,26-Dec-57,1957,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Splash Rock, Port Edward",Skindiving,M,20,Lacerations on head & neck,N,10h30,,"Natal Mercury, 12/27/1957; M. Levine, GSAF"
1957.12.23,23-Dec-57,1957,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Margate,Floating,M,23,"FATAL, right arm broken & stripped of flesh, left hand severed above wrist, lower abdomen, buttocks & thigh bitten  ",Y,16h23,>3 m [10'] shark,"P. Lynch, N. Doveton, G. Wolfe, M.Levine, GSAF "
1957.12.20,20-Dec-57,1957,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Uvongo,Standing,M,15,"FATAL, multiple, severe injuries  ",Y,16h00,,"P. Lynch, G. Wolfe, A. Cowan, M.Levine, GSAF "
1957.12.18,18-Dec-57,1957,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,Body surfing,M,16,"Left leg severed at knee, part of left thigh removed",N,17h00,," M. Levine, GSAF "
1957.11.04.R,Reported 04-Nov-1957,1957,Boat,AUSTRALIA,New South Wales,Off Scotts,Fishing,,,"No injury, shark's teeth embedded in boat",N,,,"The Age, 11/04/1957"
